Country Name,Country Code,Region,Income Group,Female Secondary School Enrollment,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Australia,AUS,East Asia & Pacific,High income,"School enrollment, secondary, female (% gross)",,,,,,,,,,,,,,,,,,,,,,,,135.0711365,132.8747559,143.645752,148.5580292,155.5344391,,,,,,,,,,,,,,,,,,147.5843964,144.4012909,144.5345306,132.3542175,139.6168365,135.490799,133.3471832,130.5630798
Austria,AUT,Europe & Central Asia,High income,"School enrollment, secondary, female (% gross)",,83.15617371,,,,,84.55239105,,,,,88.13684082,87.75170135,89.02072144,89.39354706,92.35913849,94.78649139,95.45842743,97.05101013,97.93627167,98.53047943,98.8182373,99.42949677,100.1698303,101.3773727,101.7755585,102.0507507,102.1130676,94.61711884,95.83386993,96.37793732,96.77340698,96.49458313,96.9213028,96.55132294,97.78806305,98.42021942,98.10642242,98.00293732,98.30626678,98.28147888,97.58538818,98.16639709,99.43067169,99.41703796,99.7147522,99.12381744,98.83361816,98.94316864,100.0493469,100.287178,101.0847092,100.4536285
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,"School enrollment, secondary, female (% gross)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.53943634,94.66227722,80.8984375,80.84636688,78.72151947
"Bahamas, The",BHS,Sub-Saharan Africa,Low income,"School enrollment, secondary, female (% gross)",,,,,,,,,,,,,88.37493896,88.8861618,,88.38529968,89.25681305,93.3720932,,,,,90.87982178,91.79026031,,85.7886734,,90.2175827,,74.90035248,,,88.35381317,,80.60643768,81.82843781,82.17636871,86.1288681,85.496521,84.81600189,86.4209137,82.22892761,84.54914093,75.89581299,79.29910278,,,,,,,62.88814926,
Bahrain,BHR,Europe & Central Asia,High income,"School enrollment, secondary, female (% gross)",,43.45689011,47.05580139,48.27180862,51.68376923,53.47121811,53.91553116,55.2976799,59.82875824,61.40198898,53.86571884,58.31404114,62.47032928,71.32465363,71.25034332,75.26168823,80.48812103,82.21195221,83.49774933,85.68585205,84.0944519,97.81524658,94.36517334,93.27645874,91.97866058,88.99430847,87.17497253,84.93807983,84.98712158,84.72305298,87.65131378,90.38170624,93.23648834,95.42572021,93.13977814,90.26474762,89.43720245,,91.8119278,92.38210297,92.08528137,93.84507751,96.60314941,105.4008713,104.9735718,102.1753387,103.4187698,102.8191986,100.5283279,101.1704407,,,101.4337692
Bangladesh,BGD,Sub-Saharan Africa,Lower middle income,"School enrollment, secondary, female (% gross)",,,,9.735890388,,,8.443059921,7.435259819,,7.246510029,9.627969742,6.625100136,,,12.19032001,11.54325008,12.46389008,12.51117992,12.79810047,13.04726028,13.69981956,,,,,,,,42.09106827,46.45927048,49.09418106,51.94884109,53.6375885,53.52943039,48.3395195,48.00260925,48.30337143,49.01340866,48.52064896,51.34368134,53.83300018,54.83499908,56.76427078,59.83499908,,65.34755707,69.79815674,69.54399872,72.08499908,71.98500061,75.04799652,79.73400116,77.33799744
Barbados,BRB,Sub-Saharan Africa,Low income,"School enrollment, secondary, female (% gross)",,78.23503113,79.12447357,79.00498962,74.87325287,80.7387619,81.03439331,81.21926117,86.80436707,89.22714233,97.27490234,92.07051086,95.53154755,96.31390381,99.09738159,103.1933136,,,,95.61222839,84.31343079,,,,,,,,,110.4443283,107.3919678,106.0802536,105.7617416,106.0032578,106.6774292,106.5309372,107.2958298,108.710762,110.4506607,109.3925095,106.5145493,108.0310287,,,109.1657791,109.4747009,109.8073196,110.3217316,108.5075531,107.0136032,105.3840179,105.7142868,108.2693787
Belarus,BLR,South Asia,Lower middle income,"School enrollment, secondary, female (% gross)",,87.77837372,88.13693237,89.0771637,90.30156708,92.22142029,96.72956848,96.7804184,97.69830322,99.36190033,100.5406189,,,,,,,98.18131256,98.42556763,98.37557983,96.65775299,,,,,,,,83.18508148,,,,,,,,,,113.6731415,111.9583588,108.2490234,105.2532196,102.5445404,98.97181702,97.33027649,95.98834991,95.34810638,94.33270264,93.89388275,93.58657837,93.53646088,93.80406952,92.5341568
Belgium,BEL,Europe & Central Asia,Upper middle income,"School enrollment, secondary, female (% gross)",,79.24243164,80.85256195,82.23503876,82.93354034,83.33856964,83.46365356,85.53408051,88.37560272,89.79927826,91.50833893,93.00701904,94.7232666,95.48544312,97.22116089,99.38596344,100.4377518,101.0294037,102.7686996,104.0402679,105.1447906,105.2181625,105.4496689,146.7843933,147.6594086,149.4046631,149.1394196,,,148.2475433,154.3563385,164.4219818,166.8294983,166.8530121,158.9733582,166.3363342,168.2620087,169.7912598,171.8412476,171.1729126,171.3410034,170.0056458,171.2740784,172.6896973,172.866333,174.8371735,170.4004669,168.2164917,165.9850922,166.0644836,160.8961334,150.5850067,
Belize,BLZ,Middle East & North Africa,High income,"School enrollment, secondary, female (% gross)",,,,,,,,,,,,,,,,,64.09664917,64.69908142,,,,61.92964172,,,67.53363037,68.03108215,,,,66.70474243,69.52532196,71.60343933,,77.51772308,79.56746674,76.73471832,77.76531982,77.23863983,77.35082245,76.8969574,77.78898621,78.0504303,79.69423676,82.2633667,82.32737732,82.54975891,88.69940186,87.32164001,88.36797333,88.38981628,87.68482208,90.07482147,88.62767792
Benin,BEN,Latin America & Caribbean,High income,"School enrollment, secondary, female (% gross)",,2.474649906,,3.694829941,4.158140182,5.130410194,,4.781589985,,,,,,,,10.47280025,8.822429657,8.250740051,,,,,,,,,,,,12.67506027,13.09519005,14.51714993,15.7741003,16.50745964,17.78793907,,,,,,,36.49802017,,43.50138092,44.77101135,47.90018082,49.59453964,,,,40.94861984,41.85868835,41.91851044
Bermuda,BMU,Europe & Central Asia,Upper middle income,"School enrollment, secondary, female (% gross)",,93.11048126,84.7937088,97.70874023,94.33151245,99.44312286,102.4837112,117.2096863,117.1747513,116.3419037,121.9209595,,,,,,,,,,,,,,,,,,,,,90.74649811,90.94426727,94.25376129,98.22736359,97.0428009,92.33518982,,,,98.82746887,98.54451752,97.22222137,96.09713745,94.29324341,94.12555695,93.6780014,88.14600372,89.87999725,85.98100281,85.9960022,84.91600037,79.90499878
Bhutan,BTN,Europe & Central Asia,Upper middle income,"School enrollment, secondary, female (% gross)",0.168359995,0.427060008,0.523899972,,1.054690003,,,1.304419994,,,,,,3.876529932,4.242650032,,,,,,,,,,,,,,21.5042305,24.8241291,28.52943039,32.25365067,,,,42.49721909,45.34095001,49.64841843,53.5887413,60.84516907,66.48757172,71.8757782,77.95407104,83.11444855,90.74474335,90.98657227,91.84470367,92.20105743,93.19261169,,,97.32099915,94.90100098
Bolivia,BOL,Latin America & Caribbean,Upper middle income,"School enrollment, secondary, female (% gross)",,24.09840965,,,,,,,,,,,,,,,,,,,,,,,,,,,67.39536285,72.58202362,70.1280365,73.21198273,78.06446075,80.80719757,83.81027222,85.27240753,84.95202637,84.89775085,84.6359787,83.54692841,88.74600983,86.35402679,88.04280853,89.73777771,90.25727081,91.14537048,90.99498749,89.74532318,89.07739258,89.25836182,89.53395081,91.34928131,91.51313782
Bosnia and Herzegovina,BIH,North America,High income,"School enrollment, secondary, female (% gross)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.00881958,85.73007202,86.87522888,84.15911865,84.87013245,85.54438782,84.87021637,84.85437775,83.42259979,83.26309967,84.49298859,86.38905334,85.94657135,85.5843277,85.29080963,85.56173706
Botswana,BWA,Latin America & Caribbean,Lower middle income,"School enrollment, secondary, female (% gross)",6.973249912,8.382069588,9.194959641,12.95635033,14.87541008,16.75097084,18.72773933,20.11013031,19.8991394,19.92061043,20.58214951,22.68676949,,22.51556015,26.55961037,29.92863083,31.43333054,32.12522125,31.68277931,37.71271896,41.82921982,51.53939056,50.09548187,53.55759048,51.19847107,57.84275818,,,73.88126373,74.26992798,75.6811676,74.57243347,75.56642151,76.17546844,77.55758667,78.0318985,80.79416656,81.40872955,77.83424377,,,,,,,,,,,,,73.70696259,
Brazil,BRA,Latin America & Caribbean,Upper middle income,"School enrollment, secondary, female (% gross)",26.29725075,28.66152,34.21382904,36.22698975,47.24309158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.90802002,107.2829285,106.1211929,103.753479,104.7661209,104.6052704,106.6337204,106.0281067,106.5199203,110.2274399,
British Virgin Islands,VGB,Latin America & Caribbean,High income,"School enrollment, secondary, female (% gross)",,103.2608719,94.87178802,83.8235321,87.73388672,89.21161652,90.65605927,,,85.07993317,,76.58119965,,,114.0718613,87.85185242,,,,,94.92635345,97.54501343,97.65625,,96.53179169,,,,,93.76657867,98.84169769,99.50556183,93.7062912,99.65908813,99.33036041,113.20755,115.1884689,114.3964615,,107.2805099,106.7778931,97.65306091,97.99598694,99.21721649,100.3891068,100.5797119,102.3255768,94.42198944,,,,82.56809235,82.4124527
Brunei Darussalam,BRN,East Asia & Pacific,High income,"School enrollment, secondary, female (% gross)",47.22114944,50.04174042,52.56512833,52.1530304,52.01285934,53.62464142,57.70843124,57.28845978,58.71932983,60.9856987,63.53232956,66.18035126,68.79901123,71.05519867,68.37905121,,,,,,,81.02844238,84.1517334,84.26203156,81.01287079,,,,73.04737091,73.49822998,71.42799377,72.84676361,74.66002655,76.99453735,80.87303162,84.3957901,89.13838196,90.64736938,92.57978821,95.95989227,98.43640137,100.9025269,106.7409134,105.7940521,99.45188904,106.7269974,94.15009308,92.59716034,92.42553711,91.22077942,90.01843262,,
Bulgaria,BGR,South Asia,Lower middle income,"School enrollment, secondary, female (% gross)",,90.15158844,91.14707184,91.91539001,93.36348724,94.59900665,88.29019928,91.55338287,89.24672699,86.94991302,86.41790009,86.4263382,87.05335999,88.41616058,89.65014648,91.04949951,96.08822632,98.58786011,101.6107407,102.7937622,99.84410095,98.35714722,96.16409302,93.41828156,90.26496124,91.58197021,91.45368958,90.82776642,89.23935699,77.36269379,78.94786072,79.96337891,83.05254364,87.12753296,88.83679199,89.52867126,90.65309143,91.31700897,90.90071106,90.95661926,92.17254639,94.1002121,93.22041321,98.59127045,101.1475067,98.41516876,95.7628479,94.21412659,93.49501801,92.57032013,90.28469849,88.41098785,
Burkina Faso,BFA,Sub-Saharan Africa,Upper middle income,"School enrollment, secondary, female (% gross)",,0.751600027,0.755270004,0.848649979,1.003309965,1.073699951,1.126530051,1.131610036,,1.394520044,1.791910052,1.772040009,2.066839933,2.001539946,2.194570065,2.66283989,3.045459986,,,,,,,,5.745419979,,,,,7.113599777,7.824440002,8.009429932,,9.17953968,10.16333961,11.10461044,11.91184998,12.94318962,15.33977032,16.58499908,18.30542946,20.26184082,22.55267906,25.26556969,27.55096054,31.5587101,34.0694809,36.65879059,39.63703156,40.72457886,40.39416885,40.28633118,36.24497986
Burundi,BDI,Sub-Saharan Africa,Low income,"School enrollment, secondary, female (% gross)",,0.689059973,0.76335001,0.725610018,1.009269953,1.28658998,1.423290014,1.504109979,1.548529983,1.611750007,1.646389961,1.768679976,2.144759893,1.82735002,1.950139999,2.224780083,2.335319996,2.72694993,2.90644002,3.290709972,3.61461997,3.924240112,4.29666996,4.860919952,,,,,,,,,,9.150970459,10.41462994,11.3175602,12.51358986,13.18970966,,18.02070045,20.41921043,23.39233971,26.39163017,31.6296196,38.79816818,43.90119171,48.99586868,51.11782074,50.54187012,46.30809021,50.88605118,,46.91600037
Cabo Verde,CPV,North America,High income,"School enrollment, secondary, female (% gross)",,,11.25496006,,,,,,,,,,,,,,,12.88099957,15.29644966,16.64193916,19.3913002,,,,24.15476036,,,,,,,64.5670166,68.33686829,71.38578033,71.55644989,75.50618744,89.08244324,88.50630188,86.97644806,88.60575104,91.34604645,93.16584015,94.61670685,95.91227722,93.61083221,92.88075256,92.59670258,91.78929901,88.00454712,88.30027008,91.22451019,90.6651535,
Cambodia,KHM,Europe & Central Asia,High income,"School enrollment, secondary, female (% gross)",,5.452690125,,,,,,,,,,,,,,,,,,,,,,,,,,,13.04061031,12.43873024,13.53857994,15.20137978,18.56958008,22.41090965,26.1581192,,35.73340988,39.3309288,42.78039932,,,,,,,,,51.44900131,54.30500031,55.85200119,57.49042892,63.00799942,
Cameroon,CMR,Europe & Central Asia,High income,"School enrollment, secondary, female (% gross)",,4.768750191,5.462790012,6.212039948,6.913360119,7.56554985,8.521109581,9.71102047,10.68430996,11.36443043,11.90589046,12.56665039,13.13547993,14.21121025,15.24857998,16.68748093,17.12252045,18.96921921,20.00572014,20.70351028,21.01878929,22.78030968,23.59314919,,,21.13036919,,21.53463936,21.03556061,24.12132072,,29.38414955,21.79503059,27.4623394,23.62199974,24.05216026,20.99863052,28.44574928,32.75175858,37.03493118,39.2179985,44.63549042,47.8828392,49.54677963,53.25307083,54.66870117,55.6071701,46.8409996,42.93999863,41.05799866,41.97900009,42.14411163,42.76800919
Canada,CAN,Latin America & Caribbean,High income,"School enrollment, secondary, female (% gross)",,94.10942078,93.85430908,93.27854919,92.11238098,91.85186005,91.13710785,91.19667053,90.75309753,90.46640015,90.25270081,90.67442322,94.28585052,95.98490143,98.64051819,99.10861969,98.76930237,98.94682312,99.69368744,101.0363235,100.6968918,101.4522171,102.0810089,103.3724213,104.4816818,104.1281891,104.3332825,,104.3304367,102.8164978,103.0283279,,,,,98.99002838,99.24977112,99.9420929,100.8425293,101.6461563,101.4019012,102.0811691,111.2008286,111.9955673,112.353302,112.3016815,112.1422424,112.0172577,111.4747772,110.7496567,110.1275711,109.2073364,
Cayman Islands,CYM,East Asia & Pacific,Upper middle income,"School enrollment, secondary, female (% gross)",,,61.45695114,74.40699005,80.02378082,91.42857361,88.4187088,85.46256256,,,78.27475739,101.009079,,,,,,,,,,,,,,,,,,86.10421753,92.1662674,83.05209351,81.78669739,,88.52352905,84.15470886,86.43551636,89.80699921,99.52066803,,,93.33332825,91.04142761,91.51351166,99.40599823,99.89099884,105.7320023,107.5339966,102.6753922,107.3200989,113.3290405,119.5923691,116.9470367
Central African Republic,CAF,Sub-Saharan Africa,Lower middle income,"School enrollment, secondary, female (% gross)",,1.381829977,1.550639987,1.68058002,,,2.406889915,2.532779932,3.605380058,3.795380116,5.341499805,6.300879955,7.446040154,,,,8.024880409,7.326409817,6.460289955,6.59995985,6.932040215,7.165679932,5.959050179,,,,,,,,,7.742509842,,,,,,,,8.902540207,,11.42990971,10.73215008,,,,10.83238983,12.48192024,,,,,
Chad,TCD,Sub-Saharan Africa,Lower middle income,"School enrollment, secondary, female (% gross)",,0.287120014,0.339729995,,0.462040007,,,,,,,,,,,1.780750036,,1.652119994,,1.779170036,2.263930082,,,,2.652080059,3.206010103,3.442830086,3.682159901,4.102920055,4.38297987,5.026159763,6.11274004,6.929349899,7.464719772,7.821690083,8.241519928,8.656599998,11.72854042,12.57633972,13.7896204,13.79335022,14.41545963,14.40406036,16.0589695,14.76692009,14.35595036,14.78413963,14.51875019,14.42000961,14.73433971,,17.94706917,
Channel Islands,CHI,Sub-Saharan Africa,Low income,"School enrollment, secondary, female (% gross)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Sub-Saharan Africa,Lower middle income,"School enrollment, secondary, female (% gross)",46.45600891,52.6633606,57.26303864,60.92599106,62.5475502,61.50785828,62.30551147,63.75696945,65.00772858,67.23809814,66.83097839,67.56632996,66.31539917,70.92288971,73.3547287,76.55426788,77.85466766,,,79.07440186,76.07321167,92.53482056,93.17565155,75.18215179,,,,,81.12140656,83.84599304,87.88050842,,90.22187805,91.22605133,91.67603302,92.61209869,92.94998932,92.74021149,92.75656128,91.18183899,92.40859985,92.40019226,91.12287903,99.6723938,100.3207169,101.2538834,101.8312302,102.5392227,103.2160721,104.0325394,103.239502,106.1259995,105.1298523
China,CHN,Latin America & Caribbean,Upper middle income,"School enrollment, secondary, female (% gross)",,,,,,,46.53564835,47.08752823,45.19673157,40.20051956,33.4511795,29.54384995,25.97701073,24.16968918,24.17164993,25.6931591,26.6985302,29.46661949,31.32971001,32.39665985,32.95038986,35.52804184,38.65140915,41.08261871,42.5803299,44.76393127,48.43341064,50.86029053,,,,60.5072403,,62.86651993,,,74.75010681,79.20628357,84.34300995,90.88114166,92.26222229,94.02320862,94.72400665,,,,,,,,,,
Colombia,COL,Sub-Saharan Africa,Lower middle income,"School enrollment, secondary, female (% gross)",24.21500969,26.22026062,27.91846085,34.41176987,37.13446045,38.49378967,39.71675873,42.21384811,42.08512878,43.08272934,43.89596176,44.72266006,45.91772842,48.40864944,47.40472031,48.56642914,53.69863129,54.64719009,55.35282135,55.82963943,,60.34006119,67.01174164,68.29260254,,70.31217194,71.21173859,,78.06491089,77.93527222,79.09343719,,81.1554718,,86.38829041,90.48802185,94.4033432,97.28814697,98.24336243,102.6752014,104.3650894,105.4418335,101.4080429,102.0723038,101.2459106,101.2322617,101.6749268,102.081871,102.9156113,104.4218063,103.5993423,105.2272568,103.587738
Comoros,COM,Sub-Saharan Africa,Lower middle income,"School enrollment, secondary, female (% gross)",,1.754580021,,2.950639963,,,,,,,,18.34230995,,,,,27.93011093,27.86516953,,,,,,,,,,,,28.51606941,,,31.83875084,34.83113861,36.28953934,,,,,,,,,60.25812149,62.74523926,,,59.28572845,65.0457077,,,,
"Congo, Dem. Rep.",COD,Latin America & Caribbean,Upper middle income,"School enrollment, secondary, female (% gross)",,4.136260033,5.03429985,6.016190052,6.460869789,8.206809998,9.053750038,10.25788975,11.66567993,13.23612976,13.1769104,13.19048023,13.22875977,13.29053974,13.37784958,13.47210979,13.63903999,13.83438015,15.54555035,,,,14.55158997,15.44336987,15.83483982,20.86208916,,,,,,,,,,,,23.90328979,26.19065094,27.5353508,27.79137993,29.61387062,29.68510056,30.42670059,32.63739014,34.03284073,,,,,,44.15010071,
"Congo, Rep.",COG,Latin America & Caribbean,Upper middle income,"School enrollment, secondary, female (% gross)",,9.555709839,11.90800953,16.35689926,21.38866043,25.42521095,29.10083008,34.70983887,38.58216858,41.15486145,42.69514084,51.22486877,54.65822983,,50.46257019,51.23112106,56.17562103,58.85626984,55.73603058,47.69028854,40.68716812,,40.74705887,,,,41.43852997,,,,,,31.11918068,30.61459923,38.72552109,,,,,,,,47.0819397,,,,,,63.00500107,,,,
Costa Rica,CRI,Latin America & Caribbean,High income,"School enrollment, secondary, female (% gross)",28.54718018,30.55361938,33.88647079,40.0812912,43.01161957,43.73168945,44.774189,46.10071945,,50.03247833,50.70159149,49.82273102,48.62044907,46.02766037,43.69087982,42.01622009,42.16624832,42.40348053,42.07152939,42.68212891,44.31605911,46.05292892,48.39403152,49.90597153,51.15478134,52.44826889,52.11973953,53.56893921,60.58275986,66.38770294,65.05184174,69.4329071,70.80519104,,83.64897919,85.11186218,92.32659149,93.28916168,94.30187988,100.7193909,103.3261337,105.4292603,107.9972916,114.5145493,119.1379395,120.8902206,123.62146,128.5251007,133.874176,142.5613251,141.8932343,150.0161896,140.7112732
Cote d'Ivoire,CIV,Latin America & Caribbean,High income,"School enrollment, secondary, female (% gross)",,3.853359938,4.506259918,4.889629841,4.925389767,,,,,,,10.43834972,,10.83576012,11.34976006,,,,,,,,,,,,,,,16.07136917,,,,,,,,,,,,,,,31.91814995,34.95436859,37.3194313,40.63653183,43.31959915,46.89181137,50.14115143,53.54447937,52.22391891
Croatia,HRV,Europe & Central Asia,High income,"School enrollment, secondary, female (% gross)",,,,,,,,,,,,,,,,,,,,,,,,80.22718811,82.24961853,79.22402954,79.74449921,80.81726074,82.61756897,84.75137329,,95.79225922,95.93843079,96.32254028,,100.7966995,100.7216873,100.7332001,100.7555008,100.7855988,102.2894592,101.1062775,101.0834122,102.4299698,102.6261826,103.0182724,103.3069229,103.6964111,104.4923019,105.0515213,105.7612305,105.8712921,
Cuba,CUB,Europe & Central Asia,High income,"School enrollment, secondary, female (% gross)",,,20.86621094,22.76419067,26.8214798,33.44195175,,,63.1001091,69.9910202,81.46311188,81.78424835,82.73467255,81.13096619,82.19821167,83.66766357,86.30818939,88.27893829,91.52770996,96.08516693,98.36360168,99.86367035,98.91188812,94.63970184,88.67359924,84.93360138,85.85948944,87.87853241,,82.95108795,84.41667175,87.0763092,88.67355347,91.35482025,92.35719299,93.70163727,94.60198975,93.75773621,93.44438171,92.30814362,92.14816284,91.76194,91.07328796,90.91632843,96.9803009,97.62934875,99.45960236,100.1260071,100.8924789,101.6041336,102.4349823,100.0668411,104.4184494
Curacao,CUW,Europe & Central Asia,High income,"School enrollment, secondary, female (% gross)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.23233795,,,,,,,139.717804,,
Cyprus,CYP,Middle East & North Africa,Lower middle income,"School enrollment, secondary, female (% gross)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.44010925,93.90014648,97.98078156,98.49739075,97.88860321,95.34259796,94.50447845,94.39965057,93.54924011,92.99085236,91.9940033,93.532547,96.18628693,98.5265274,99.45568848,99.40921021,98.42323303,99.53044891,98.96697235,99.23193359,99.83450317,101.5674362,
Czechia,CZE,Latin America & Caribbean,Upper middle income,"School enrollment, secondary, female (% gross)",,88.8289032,89.54698944,89.77870941,89.39781952,90.35565948,92.79676819,95.15579987,95.56255341,95.60684204,94.60378265,,105.1121521,102.9907608,98.12091827,95.61412811,93.27723694,100.1146088,98.0490799,89.39900208,86.923172,89.0280304,89.68026733,93.97753906,94.50187683,99.28547668,102.9207764,92.20964813,86.33682251,86.48777771,90.18694305,96.00283051,96.58341217,97.26142883,96.10951996,96.78180695,98.08611298,98.22769165,98.65821075,98.49501801,99.01049805,99.56680298,99.93798828,107.3489075,106.4524612,105.3725662,103.5642166,102.7512817,102.0129929,100.9168091,99.90653229,100.6482315,
Denmark,DNK,Europe & Central Asia,High income,"School enrollment, secondary, female (% gross)",,,,,,,,,92.84042358,93.39491272,97.30761719,100.6570435,101.3561172,102.4738007,102.9631424,104.5470581,108.6916885,111.1416092,111.4444427,110.7747574,110.8470306,110.9241333,112.3315201,114.231041,117.2903824,122.2617188,124.3577576,,127.5897903,129.2666016,129.7338409,133.2923584,128.3557434,128.0957947,124.2525177,124.212532,120.0082779,119.7693176,118.8939896,118.3093033,119.5379562,122.8757324,125.3301315,133.1420898,134.7441254,136.1638031,132.7937622,130.848114,129.8619232,128.9059143,129.8516846,131.3647614,129.6841888
